"State","County","OBJECTID","DEPCODE","covid_hosp","total_staffed_bed_capacity","available_capacity","available","bed_cencus","total_pediatric_icu_capacity","available_pediatric_icu_pct","available_pediatric_icu","pediatric_icu_census","total_adult_icu_capacity","available_adult_icu_pct","available_adult_icu","adult_icu_census"
"Florida","Holmes",NA,30,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Indian River",NA,31,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Jackson",NA,32,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Jefferson",NA,33,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Lafayette",NA,34,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Lake",NA,35,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Lee",NA,36,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Leon",NA,37,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Levy",NA,38,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Liberty",NA,39,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Madison",NA,40,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Manatee",NA,41,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Marion",NA,42,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Martin",NA,43,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Monroe",NA,44,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Nassau",NA,45,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Okaloosa",NA,46,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Okeechobee",NA,47,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Orange",NA,48,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Osceola",NA,49,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Palm Beach",NA,50,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Pasco",NA,51,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Pinellas",NA,52,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Polk",NA,53,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Putnam",NA,54,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Santa Rosa",NA,57,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Sarasota",NA,58,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Seminole",NA,59,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","St. Johns",NA,55,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","St. Lucie",NA,56,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Sumter",NA,60,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Suwannee",NA,61,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Taylor",NA,62,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Union",NA,63,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Unknown",NA,999,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Volusia",NA,64,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Wakulla",NA,65,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Walton",NA,66,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
"Florida","Washington",NA,67,"0","0",0,"0","0","0",0,"0","0","0",0,"0","0"
